23, 23
23, 23
47, 40
47, 40
47, 40
40, 47
40, 23
22, 45
38, 36
38, 44
38, 44
22, 44
38, 10
22, 20
38, 42
38, 44
22, 38
38, 47
22, 25
22, 48
22, 36
22, 31
22, 31
22, 36
22, 42
22, 49
22, 40
40, 20
22, 22
36, 23
40, 20
40, 20
38, 38
22, 49
45, 36
22, 20
36, 46
45, 10
45, 16
5, 23
40, 40
22, 14
36, 39
36, 39
46, 46
36, 38
34, 36
23, 38
10, 41
42, 36
16, 22
20, 43
20, 43
20, 43
42, 10
36, 49
25, 39
40, 44
40, 44
36, 34
36, 36
36, 38
39, 39
31, 43
39, 36
5, 5
48, 48
39, 36
22, 23
41, 23
36, 42
10, 32
16, 38
5, 5
40, 40
43, 43
38, 47
23, 44
23, 44
46, 45
23, 23
14, 45
14, 45
43, 47
43, 47
45, 46
43, 47
20, 23
49, 31
5, 5
47, 38
23, 31
26, 39
27, 33
27, 33
8, 46
22, 22
22, 22
33, 10
31, 42
33, 10
31, 42
22, 40
45, 13
49, 24
5, 36
23, 32
10, 27
10, 27
36, 38
23, 23
36, 42
41, 41
42, 42
33, 36
40, 22
9, 9
24, 48
5, 21
35, 48
42, 5
49, 24
38, 23
10, 36
23, 6
22, 24
49, 24
23, 23
3, 14
44, 38
22, 44
12, 12
22, 38
12, 12
38, 42
22, 31
48, 30
42, 16
38, 32
39, 24
47, 33
44, 38
10, 24
10, 24
3, 16
44, 38
36, 36
44, 38
24, 38
22, 40
43, 22
42, 43
22, 49
21, 33
40, 38
3, 25
44, 22
48, 46
10, 12
48, 24
10, 8
49, 49
23, 33
26, 13
40, 38
35, 33
49, 38
39, 22
9, 9
6, 44
5, 40
46, 46
34, 36
33, 32
32, 27
38, 38
38, 38
34, 12
35, 44
3, 12
40, 24
40, 40
40, 40
25, 42
35, 22
35, 22
25, 33
23, 24
23, 25
33, 41
48, 38
41, 36
35, 8
36, 39
45, 36
45, 36
38, 22
24, 44
13, 26
44, 22
42, 23
22, 25
22, 25
41, 46
36, 42
47, 38
41, 46
33, 33
36, 27
36, 36
10, 9
35, 36
42, 42
23, 35
23, 23
27, 30
25, 25
36, 9
36, 9
38, 32
39, 16
16, 22
5, 46
3, 22
46, 46
45, 45
35, 36
48, 6
38, 9
45, 45
9, 41
9, 41
42, 42
36, 22
8, 18
23, 49
32, 30
46, 46
13, 45
25, 38
45, 33
21, 49
21, 49
24, 23
48, 8
24, 23
24, 23
24, 22
20, 6
13, 16
36, 42
33, 45
42, 42
39, 25
6, 42
46, 5
47, 47
41, 36
41, 36
15, 15
23, 23
15, 8
23, 23
23, 36
15, 8
23, 36
42, 42
8, 23
25, 25
49, 23
35, 45
40, 5
9, 33
23, 33
25, 49
42, 33
45, 33
38, 42
33, 42
14, 46
36, 41
23, 41
23, 23
22, 49
9, 8
9, 8
42, 49
3, 42
36, 22
33, 10
21, 38
45, 46
36, 36
35, 36
24, 23
24, 23
39, 47
49, 36
8, 41
8, 41
8, 18
8, 18
5, 46
25, 25
46, 45
36, 49
36, 49
21, 25
23, 6
25, 43
16, 6
9, 8
26, 26
26, 26
47, 43
47, 43
23, 36
23, 36
46, 5
25, 25
40, 40
40, 40
42, 36
42, 36
22, 39
43, 23
43, 23
43, 25
46, 22
32, 32
32, 32
42, 3
8, 9
8, 9
12, 12
12, 12
33, 36
33, 36
12, 12
35, 21
35, 21
44, 36
6, 41
44, 36
47, 24
36, 33
36, 33
31, 35
21, 21
21, 21
43, 25
23, 23
47, 36
47, 36
22, 12
45, 45
17, 17
45, 45
23, 21
33, 42
33, 42
23, 21
44, 16
49, 25
42, 47
38, 33
47, 17
47, 17
47, 17
30, 11
11, 11
32, 32
32, 32
22, 40
22, 40
36, 47
33, 41
24, 47
24, 47
8, 42
39, 39
41, 10
22, 22
22, 22
22, 48
36, 14
38, 48
22, 42
16, 13
23, 23
40, 48
38, 35
22, 36
22, 6
38, 35
22, 6
23, 35
36, 16
6, 36
39, 35
46, 41
42, 16
35, 43
38, 43
47, 25
23, 23
38, 43
16, 48
38, 35
38, 31
38, 40
33, 5
44, 44
25, 23
25, 16
25, 49
16, 13
36, 12
16, 13
43, 21
33, 21
16, 42
47, 49
23, 23
25, 49
33, 25
23, 23
42, 22
40, 35
38, 42
39, 22
23, 46
21, 42
22, 42
46, 48
38, 44
33, 42
33, 42
27, 49
25, 48
9, 38
40, 22
38, 22
38, 48
22, 38
16, 25
38, 35
33, 34
45, 10
26, 14
25, 36
23, 23
47, 24
25, 10
38, 31
46, 21
23, 23
22, 24
47, 5
22, 40
39, 43
41, 8
43, 48
13, 36
48, 22
48, 22
42, 47
23, 38
12, 36
48, 13
42, 47
39, 38
27, 21
22, 44
36, 25
42, 20
34, 34
44, 44
48, 40
47, 49
12, 21
31, 46
8, 32
9, 10
9, 10
8, 10
9, 9
13, 23
34, 48
38, 44
40, 22
48, 48
40, 22
31, 36
31, 36
22, 25
25, 42
36, 47
9, 10
25, 21
47, 16
46, 41
40, 47
21, 47
44, 35
40, 40
34, 32
12, 12
42, 16
23, 38
32, 14
34, 44
36, 12
18, 10
36, 21
34, 44
34, 44
27, 16
10, 9
36, 13
22, 44
12, 11
21, 42
42, 44
32, 8
14, 34
10, 41
16, 25
45, 33
45, 33
21, 21
31, 31
36, 25
48, 34
32, 3
36, 35
11, 30
16, 52
42, 35
25, 21
12, 16
44, 22
44, 40
44, 40
24, 46
24, 46
22, 22
41, 41
47, 43
33, 42
45, 45
41, 6
44, 44
36, 38
44, 44
44, 20
3, 11
22, 20
46, 31
45, 36
21, 36
40, 22
40, 22
8, 22
31, 31
